"speaker","party","gender","date","agenda","speechnumber","text","translated_text","language","scientific_prop","social_prop","speech_length","year","female","emotion_prop"
"Bas Eickhout","Greens/EFA","Female",2024-04-24,"10. The attack on climate and nature: far right and conservative attempts to destroy the Green Deal and prevent investment in our future (topical debate)",2,"Mr President, thank you. And also, thank you for the applause before I even spoke. Last Monday, this Monday, it was Earth Day 2024, and also, again, the European State of the Climate Report has been published and it is full of very clear messages: 2023 was the warmest year on record; again, the average sea surface temperature across Europe was the highest on record; the Alps, which have seen glaciers lose around 10% of their remaining volume; and in the past 20 years, heat-related deaths are estimated to have increased by 94%. Weather- and climate-related economic losses in 2023 are estimated at more than EUR 13.4 billion. That’s the state of the climate, and we’re only at the beginning because every emission that we are still doing is piling up in this atmosphere and is building up impacts that we are still going to see. Remember 2015, when we signed up to the Paris Agreement, where we promised the world, ‘We want to stay below a warming of 1.5 degrees’? Remember 2019, when this whole House said, ‘We support the Green Deal. We work for climate neutrality’? Remember 2020, when this House in a full majority said, ‘There is a state of climate emergency’? Those were the days. Those were the days where also the conservatives were very clear, making the point, ‘We need urgent action on climate’, and what have we seen? We’ve seen stalling. We’ve seen pressuring. We’ve been watering down: on nature restoration, on deforestation, on pesticides, on packaging, on electric vehicles. On all these files, we have seen conservatives and the right weakening, pressuring down and watering down legislation. And they are giving false promises. This afternoon we will vote on agriculture again, and here the right will say, ‘We are going to weaken your environmental provisions because then everything will be fine for you’. But is that what is the problem of our farmers? The problem of our farmers is not environmental legislation. It is that they’re not getting a fair price for their production. So I will challenge you. We have amendments this afternoon where we are going to ask for transparency in the food chain so that we know what farmers can get. We have amendments that are capping the subsidies so that our subsidy system will not go to the big farms, but to the small farmers. We are challenging you. Are you willing to really pick up a fight for our farmers, or are you just making sound and not helping any farmer at all? And we will see the same on industrial policy. In industrial policy, the right is talking about the problems of competitiveness. What are the real problems? The real problem is a lack of a European strategy, a lack of European investments, and a lack of clarity that the Green Deal is our future industrial deal. That clarity, that is lacking. So therefore, dear colleagues, these elections will be about the Green Deal, the future of the Green Deal, the future of European competitiveness, the future of a real fair income for our farmers. And therefore we are calling, ‘Let’s make these elections the Green Deal elections’, and let’s make sure that we are continuing our fight because we need to pick it up. And it is time that the right is getting his head out of the sand again and start working. We will do so.","Mr President, thank you. And also, thank you for the applause before I even spoke. Last Monday, this Monday, it was Earth Day 2024, and also, again, the European State of the Climate Report has been published and it is full of very clear messages: 2023 was the warmest year on record; again, the average sea surface temperature across Europe was the highest on record; the Alps, which have seen glaciers lose around 10% of their remaining volume; and in the past 20 years, heat-related deaths are estimated to have increased by 94%. Weather- and climate-related economic losses in 2023 are estimated at more than EUR 13.4 billion. That’s the state of the climate, and we’re only at the beginning because every emission that we are still doing is piling up in this atmosphere and is building up impacts that we are still going to see. Remember 2015, when we signed up to the Paris Agreement, where we promised the world, ‘We want to stay below a warming of 1.5 degrees’? Remember 2019, when this whole House said, ‘We support the Green Deal. We work for climate neutrality’? Remember 2020, when this House in a full majority said, ‘There is a state of climate emergency’? Those were the days. Those were the days where also the conservatives were very clear, making the point, ‘We need urgent action on climate’, and what have we seen? We’ve seen stalling. We’ve seen pressuring. We’ve been watering down: on nature restoration, on deforestation, on pesticides, on packaging, on electric vehicles. On all these files, we have seen conservatives and the right weakening, pressuring down and watering down legislation. And they are giving false promises. This afternoon we will vote on agriculture again, and here the right will say, ‘We are going to weaken your environmental provisions because then everything will be fine for you’. But is that what is the problem of our farmers? The problem of our farmers is not environmental legislation. It is that they’re not getting a fair price for their production. So I will challenge you. We have amendments this afternoon where we are going to ask for transparency in the food chain so that we know what farmers can get. We have amendments that are capping the subsidies so that our subsidy system will not go to the big farms, but to the small farmers. We are challenging you. Are you willing to really pick up a fight for our farmers, or are you just making sound and not helping any farmer at all? And we will see the same on industrial policy. In industrial policy, the right is talking about the problems of competitiveness. What are the real problems? The real problem is a lack of a European strategy, a lack of European investments, and a lack of clarity that the Green Deal is our future industrial deal. That clarity, that is lacking. So therefore, dear colleagues, these elections will be about the Green Deal, the future of the Green Deal, the future of European competitiveness, the future of a real fair income for our farmers. And therefore we are calling, ‘Let’s make these elections the Green Deal elections’, and let’s make sure that we are continuing our fight because we need to pick it up. And it is time that the right is getting his head out of the sand again and start working. We will do so.","en",0.0078125,0.015625,571,"2024",1,0.0234375
"Peter Liese","PPE","Male",2024-04-24,"10. The attack on climate and nature: far right and conservative attempts to destroy the Green Deal and prevent investment in our future (topical debate)",5,"Herr Präsident, liebe Kolleginnen und Kollegen! Die EVP steht zum Green Deal. Wir haben – jetzt die Grünen bitte mal zuhören, das ist eine Tugend, die ich Ihnen wünsche – nicht nur die meisten der einschlägigen Gesetze mitgetragen, sondern wir haben viele auch federführend vorangebracht. Ich nenne als Beispiel den Klima-Sozialfonds und das Emissionshandelssystem. Und alle sollten sich auch noch einmal daran erinnern, dass das Emissionshandelssystem II am Anfang von den Rechten, von den Linken, von den Sozialdemokraten und den Grünen komplett abgelehnt wurde. Bitte nicht vergessen! Wir haben aus gutem Grund einige Gesetze abgelehnt, und ich bin froh, dass wir das auch erfolgreich getan haben beim Pflanzenschutz. Danke an Ursula von der Leyen, dass sie das zurückgezogen hat. Die Bilanz der Grünen ist so, dass sie weniger Green Deal-Gesetze in der Schlussabstimmung unterstützt haben als die EVP. Ich nenne das Klimaschutzgesetz, Euro 7, Pflanzenschutz, neue Züchtungsmethoden, Gas und den ganz schwarzen Tag, den 8. Juni 2022, als Sie gemeinsam mit den Rechten meinen Bericht zum Emissionshandelssystem versenkt haben. Wir konnten das reparieren, aber bitte auch daran mal zurückdenken. Also wir sind schon bei einer Zahl von sieben nicht unterstützten Gesetzen, und ich höre, morgen kommt ein achtes dazu, der Net Zero Industry Act. Und das finde ich wirklich ein Problem. Gemeinsam haben wir der Industrie nach vielen Schwierigkeiten ambitionierte Ziele gegeben. Jetzt müssen wir sie aber auch in die Lage versetzen, durch Beschleunigung der Verfahren, durch weniger Bürokratie klimaneutrale Fabriken auch wirklich zu bauen. Und das steht in dem Act. Also Grüne, bevor ihr euch weiter aufregt: Heute Abend in der Fraktion beschließen für Net Zero Industry Act! Dann kommen wir gemeinsam beim Klimaschutz voran.","Mr. President, dear colleagues! The EPP stands by the Green Deal. We have not only supported most of the relevant legislation—and now I would ask the Greens to listen, as this is a virtue I would like to see in you—but we have also played a leading role in advancing much of it. I would cite the Climate Social Fund and the emissions trading system as examples. And everyone should also remember that the Emissions Trading System II was initially rejected outright by the right, the left, the Social Democrats, and the Greens. Please don't forget that! We rejected some laws for good reason, and I am glad that we also did so successfully in the case of plant protection. Thank you to Ursula von der Leyen for withdrawing that. The Greens' track record is that they supported fewer Green Deal laws in the final vote than the EPP. I am referring to the Climate Protection Act, Euro 7, plant protection, new breeding methods, gas, and that very dark day, June 8, 2022, when you and the right wing sank my report on the emissions trading system. We were able to fix that, but please remember it. So we are already at a total of seven laws that have not been supported, and I hear that an eighth will be added tomorrow, the Net Zero Industry Act. And I really think that's a problem. Together, after many difficulties, we have set ambitious targets for industry. But now we must also enable them to actually build climate-neutral factories by speeding up procedures and reducing bureaucracy. And that is what the Act says. So, Greens, before you get any more upset: vote for the Net Zero Industry Act in the parliamentary group tonight! Then we can make progress on climate protection together.","de",0.0192307692307692,0.0128205128205128,300,"2024",0,0.032051282051282
"Mohammed Chahim","S&D","Male",2024-04-24,"10. The attack on climate and nature: far right and conservative attempts to destroy the Green Deal and prevent investment in our future (topical debate)",6,"Voorzitter, radicaal rechts verkondigt graag met enig gevoel voor drama dat we aan de vooravond staan van een ingrijpende groene revolutie. Maar we zitten daar al middenin. Overheden en bedrijven investeren volop in wind— en zonneparken en in allerlei groene technologieën om juist de industrie te helpen vergroenen. Ik was de afgelopen week in het gebied Puertollano en je ziet daar gewoon de toekomst. Je ziet hoe Spaanse en Nederlandse bedrijven investeren in groene ammoniak en groene waterstof, juist om de industrie te vergroenen. Ook China en de VS staan niet stil. Waar we misschien vijf jaar geleden ambitieus waren, lopen we nu zelfs achter als het gaat om groene investeringen. Rechts kan zijn neus ophalen voor de klimaatcrisis, maar een meerderheid in Nederland en Europa neemt die crisis heel erg serieus. En ze moet wel. Vraag het aan de inwoners van La Roche, waar onlangs een overstroming was. Vraag het aan de inwoners van Limburg, waar een aantal jaar geleden ook een overstroming was. Vraag het aan de boeren in Zuid—Frankrijk, die te maken krijgen met droge grond die wegschroeit voor hun ogen. Vraag het aan de boswachters in de Maasduinen in Limburg, die in een paar uur tijd vijf hectare grond zagen opgaan in brand. Rechtse politici kunnen het klimaatbeleid proberen te shredden zoveel ze willen, maar daar helpen ze niemand mee en zeker niet hun kleinkinderen. Wij moeten nu de basis leggen voor groen industriebeleid, gecoördineerd met alle lidstaten, om een vuist te maken en onze industrie toekomstbestendig te maken.","Mr. Chairman, the radical right likes to proclaim, with a certain sense of drama, that we are on the eve of a radical green revolution. But we are already in the midst of it. Governments and companies are investing heavily in wind and solar parks and in all kinds of green technologies to help industry become greener. Last week, I was in the Puertollano area, and you can see the future there. You can see how Spanish and Dutch companies are investing in green ammonia and green hydrogen, precisely to make industry greener. China and the US are not standing still either. Whereas we may have been ambitious five years ago, we are now even lagging behind when it comes to green investments. The right wing may turn up its nose at the climate crisis, but a majority in the Netherlands and Europe takes this crisis very seriously. And they have to. Ask the residents of La Roche, where there was a recent flood. Ask the residents of Limburg, where there was also a flood a few years ago. Ask the farmers in southern France, who are facing dry soil scorching away before their eyes. Ask the forest rangers in the Maasduinen in Limburg, who saw five hectares of land go up in flames in a matter of hours. Right-wing politicians can try to shred climate policy as much as they want, but that won't help anyone, least of all their grandchildren. We must now lay the foundations for a green industrial policy, coordinated with all member states, to take a stand and make our industry future-proof.","nl",0.0413793103448276,0,267,"2024",0,0.0206896551724138
"Pascal Canfin","Renew","Male",2024-04-24,"10. The attack on climate and nature: far right and conservative attempts to destroy the Green Deal and prevent investment in our future (topical debate)",7,"Monsieur le Président, Monsieur le Commissaire, chers collègues, alors que se termine cette législature, je pense que l’on peut être extrêmement fiers du travail accompli sur le Pacte vert. Lorsque nous avons commencé, nous n’étions absolument pas alignés sur nos objectifs climatiques; aujourd’hui, nous avons adopté toutes les règles du jeu sur la mobilité, sur les énergies et sur les industries pour respecter nos engagements pour le climat. Nous l’avons fait ensemble et nous l’avons fait en sortant des caricatures, et non pas en diminuant nos solutions, mais au contraire en les additionnant. C’est notre position, au sein de la délégation Renaissance et au sein du groupe Renew, d’additionner les solutions, plutôt que de les soustraire. Nous avons voté avec la gauche le développement des énergies renouvelables, mais nous avons voté avec la droite le développement du nucléaire. Nous avons voté avec la gauche les solutions basées sur la nature et nous avons voté avec la droite les solutions basées sur la technologie, comme les nouvelles techniques génomiques, parce que nous avons besoin de toutes les solutions, de manière pragmatique, ambitieuse et non dogmatique. Je voudrais conclure, parce que la droite, en cette fin de mandat, a tendance à rejoindre les caricatures de l’extrême droite en disant que le Pacte vert serait un programme décroissant, mais ce qui est décroissant en matière agricole, chers collègues de la droite et de l’extrême droite, c’est par exemple le fait qu’en Andalousie, il ne pleuve plus. Il ne pleut plus et cela veut dire qu’il y a 50 % de production d’huile d’olive en moins en Andalousie. C’est ça qui est décroissant, en deux ans. Ce n’est pas le Pacte vert qui est décroissant; c’est l’impact du dérèglement climatique, qui va rendre nos productions agricoles instables, voire impossibles, et qui va ruiner et limiter notre souveraineté agricole. Donc sortez des postures, sortez des caricatures, rejoignez-nous dans l’action pour la nature et le climat, qui est aussi une autre action pour la souveraineté, pour la compétitivité de nos entreprises et pour nos emplois.","Mr. President, Commissioner, colleagues, as this legislative term draws to a close, I believe we can be extremely proud of the work we have accomplished on the Green Deal. When we started, we were completely out of step with our climate goals; today, we have adopted all the rules of the game on mobility, energy, and industry to meet our climate commitments. We did this together and we did it by moving away from caricatures, not by diminishing our solutions, but on the contrary by adding them together. It is our position, within the Renaissance delegation and within the Renew group, to add solutions together rather than subtract them. We voted with the left on the development of renewable energies, but we voted with the right on the development of nuclear power. We voted with the left on nature-based solutions and we voted with the right on technology-based solutions, such as new genomic techniques, because we need all solutions, in a pragmatic, ambitious and non-dogmatic way. I would like to conclude by saying that, as its term in office draws to a close, the right wing is tending to echo the caricatures of the far right by saying that the Green Deal is a degrowth program. However, what is degrowing in agriculture, my colleagues on the right and far right, is the fact that it no longer rains in Andalusia, for example. It no longer rains, which means that olive oil production in Andalusia has fallen by 50%. That is what is declining, in two years. It is not the Green Deal that is declining; it is the impact of climate change, which will make our agricultural production unstable, even impossible, and which will ruin and limit our agricultural sovereignty. So stop posturing, stop caricaturing, and join us in taking action for nature and the climate, which is also another action for sovereignty, for the competitiveness of our businesses, and for our jobs.","fr",0.0324675324675325,0.00649350649350649,323,"2024",0,0.012987012987013
"Marie Toussaint","Greens/EFA","Female",2024-04-24,"10. The attack on climate and nature: far right and conservative attempts to destroy the Green Deal and prevent investment in our future (topical debate)",8,"Monsieur le Président, chers collègues, je vous demande d’ouvrir les yeux. Vous verrez les inondations qui ravagent des territoires entiers, des maisons fissurées sous l’effet du dérèglement climatique, des vies de labeur qui partent tout entières en fumée sous l’effet du dérèglement climatique. Vous verrez le foncier dévalorisé par les pollutions industrielles que vous refusez de combattre, les cancers des enfants exploser, à cause des pesticides que vous refusez de réduire, et l’eau qui disparaît et est progressivement rendue impropre à la consommation, à cause des produits toxiques que vous refusez d’interdire. Alors voilà, nous sommes en période électorale et, pour préserver le statu quo, vous organisez la grande régression environnementale: le moratoire pour les uns; la pause réglementaire pour les autres; pour l’extrême droite, l’abrogation du Pacte vert. Mais dans quel monde vivez-vous? Camarades socialistes, avec qui nous avons mené tant de combats, avez-vous déjà oublié vos promesses, en votant pour l’austérité plutôt que pour l’investissement d’avenir, pour le détricotage de la PAC, les méga camions et, pour la moitié d’entre vous, pour les OGM? De nombreux jeunes Européens sont aujourd’hui ici, à Strasbourg, pour nous demander une chose: d’accélérer la transition écologique dans la justice sociale. Alors, pendant que vous vous liguez pour détruire notre avenir commun, nous continuerons à nous battre pour la justice, pour la paix et pour l’écologie.","Mr. President, colleagues, I ask you to open your eyes. You will see floods ravaging entire regions, houses cracked by climate change, and lives of hard work going up in smoke because of climate change. You will see land devalued by industrial pollution that you refuse to combat, childhood cancer rates skyrocketing because of pesticides that you refuse to reduce, and water disappearing and gradually becoming unfit for consumption because of toxic products that you refuse to ban. So here we are, in an election period, and in order to preserve the status quo, you are organizing a major environmental regression: a moratorium for some; a regulatory pause for others; and for the far right, the repeal of the Green Deal. What world are you living in? Comrades, with whom we have fought so many battles, have you already forgotten your promises, voting for austerity rather than investment in the future, for the dismantling of the CAP, for mega-trucks and, for half of you, for GMOs? Many young Europeans are here today in Strasbourg to ask us for one thing: to accelerate the ecological transition with social justice. So, while you are joining forces to destroy our common future, we will continue to fight for justice, peace, and the environment.","fr",0,0.0277777777777778,210,"2024",1,0.037037037037037
"Beata Szydło","ECR","Female",2024-04-24,"10. The attack on climate and nature: far right and conservative attempts to destroy the Green Deal and prevent investment in our future (topical debate)",9,"Panie Przewodniczący! Szanowni Państwo ! W tej kadencji Parlamentu było już bardzo wiele kuriozalnych debat, ale w tej chwili lewicowi radykałowie przeszli samych siebie. Co to w ogóle ma być, Szanowni Państwo? To są kpiny z demokracji, z parlamentaryzmu. To jest przede wszystkim obrażanie Europejczyków. Nie mówicie o ochronie klimatu, nie mówicie o tym, co dzieje się w tej chwili w Europie – brak konkurencyjności, protesty rolników. Uważacie, że ci ludzie, którzy bronią swoich gospodarstw, bronią swojej przyszłości, to są skrajni prawicowcy? Co z gospodarką europejską, Szanowni Państwo? Czy ona jest coraz bardziej konkurencyjna? Czy dyskutujecie o przyszłości Europejczyków? Jak się im będzie żyło? Ludzie zamykają swoje firmy, bo nie stać ich na opłacenie rachunków. Ludzie nie widzą dla siebie perspektyw. To jest właśnie Zielony Ład. Tak, i o tym będą te wybory. I wiecie doskonale, że ta ideologia, zielona ideologia, którą zafundowaliście Europejczykom, wcale im nie pomaga i nie stwarza perspektyw dobrej przyszłości. Tak, trzeba rozmawiać o tym, co dzieje się w Europie. Trzeba rozmawiać, jak chronić środowisko, jak chronić klimat, ale wy to robicie kosztem ludzi. Wy to robicie kosztem gospodarki europejskiej. Wy to robicie kosztem bezpieczeństwa europejskiego. I o tym będą te wybory. My stoimy po stronie Europy i Europejczyków, po stronie europejskiej gospodarki, po stronie europejskiego rolnictwa. Nie pozwolimy wam doprowadzić Europy do upadku.","Mr. President, ladies and gentlemen, there have been many bizarre debates in this Parliament, but now the radical left has surpassed itself. What is this all about, ladies and gentlemen? This is a mockery of democracy and parliamentarianism. Above all, it is an insult to Europeans. You are not talking about climate protection, you are not talking about what is happening in Europe right now – lack of competitiveness, farmers' protests. Do you think that these people who are defending their farms and their future are extreme right-wingers? What about the European economy, ladies and gentlemen? Is it becoming more competitive? Are you discussing the future of Europeans? How will they live? People are closing their businesses because they cannot afford to pay their bills. People see no prospects for themselves. This is the Green Deal. Yes, and that is what these elections will be about. And you know very well that this ideology, this green ideology that you have imposed on Europeans, does not help them at all and does not create prospects for a good future. Yes, we need to talk about what is happening in Europe. We need to talk about how to protect the environment, how to protect the climate, but you are doing it at the expense of people. You are doing it at the expense of the European economy. You are doing it at the expense of European security. And that is what these elections will be about. We stand with Europe and Europeans, with the European economy, with European agriculture. We will not let you bring Europe to ruin.","pl",0.00961538461538462,0.0384615384615385,266,"2024",1,0.0576923076923077
"Silvia Sardone","ID","Female",2024-04-24,"10. The attack on climate and nature: far right and conservative attempts to destroy the Green Deal and prevent investment in our future (topical debate)",10,"Signor Presidente, onorevoli colleghi, con le ecofollie di questi anni state finanziando il declino dell'Europa. Il Green Deal e le vostre assurde leggi per la transizione ecologica ci stanno costringendo a smettere di investire in ciò che ci rende autonomi, per sostenere tutto ciò che ci rende dipendenti da paesi come la Cina o altri. Auto elettrica, pannelli solari, pompe di calore: tutta tecnologia che non è in mano nostra. Con le case green volete spremere i più poveri che pagheranno per una svolta che non avrà alcun effetto. La vostra ideologia uccide inoltre il nostro agroalimentare, aprendo alle importazioni dall'estero, imponendo il riposo dei terreni e autorizzando la produzione e la vendita di carne e pesce sintetici. Le vostre politiche verdi distruggono agricoltura e industria. Lo volete capire o no? Alle prossime elezioni europee si gioca il futuro del nostro continente. Solo con la disfatta di Verdi e Sinistra ci sarà la salvezza dell'Europa.","Mr. President, ladies and gentlemen, with the eco-madness of recent years, you are financing the decline of Europe. The Green Deal and your absurd laws for ecological transition are forcing us to stop investing in what makes us autonomous, in order to support everything that makes us dependent on countries such as China or others. Electric cars, solar panels, heat pumps: all technology that is not in our hands. With green homes, you want to squeeze the poorest, who will pay for a change that will have no effect. Your ideology is also killing our agri-food sector, opening it up to imports from abroad, imposing land rest periods, and authorizing the production and sale of synthetic meat and fish. Your green policies are destroying agriculture and industry. Do you want to understand this or not? The future of our continent is at stake in the upcoming European elections. Only with the defeat of the Greens and the Left will Europe be saved.","it",0.0238095238095238,0,162,"2024",1,0.0119047619047619
"Silvia Modig","The Left","Female",2024-04-24,"10. The attack on climate and nature: far right and conservative attempts to destroy the Green Deal and prevent investment in our future (topical debate)",11,"Arvoisa puhemies, Green Deal on ollut merkittävä saavutus koko EU:lta. Puutteistaan huolimatta vihreä siirtymä on mahdollistanut historiallisen suunnanmuutoksen, ja olemme asettaneet EU:n kurssille kohti kestävää tulevaisuutta ja mahdollistaneet kestävää talouskasvua. Ilmastonmuutos on valitettava tosiasia – piti siitä tai ei. Toki te siellä oikealla olette vapaita laittamaan pään puskaan ja kieltämään tosiasiat, mutta tosiasioita te ette sillä muuta, että te tarjoatte äänestäjille älyllisesti epärehellisiä vastauksia. Ilmastonmuutos on se suurin uhka viljelijöille tällä hetkellä, ja vihreällä siirtymällä me mahdollistamme myös eurooppalaisen ruuantuotannon tulevaisuuden. Kriisi ei ole kadonnut, vaan tilanne on koko ajan pahempi. Tarvitsemme vahvaa ilmastopolitiikkaa ja Green Deal II seuraavalle kaudelle, joka jatkaa tällä kaudella aloitettua työtä. Mikäli nyt pyritään romuttamaan jo tehtyä ilmastolainsäädäntöä, tulevat kustannukset ja seuraukset olemaan niin inhimillisesti kuin taloudellisesti todella kovat kaikille eurooppalaisille, ja se ei ole eurooppalaisten etu.","Mr. President, the Green Deal has been a significant achievement for the entire EU. Despite its shortcomings, the green transition has enabled a historic change of direction, and we have set the EU on a course toward a sustainable future and enabled sustainable economic growth. Climate change is an unfortunate reality – whether you like it or not. Of course, those of you on the right are free to bury your heads in the sand and deny the facts, but you cannot change the facts by offering voters intellectually dishonest answers. Climate change is currently the greatest threat to farmers, and by making the green transition, we are also securing the future of European food production. The crisis has not gone away; in fact, the situation is getting worse all the time. We need a strong climate policy and Green Deal II for the next term, which will continue the work started this term. If we now seek to dismantle the climate legislation that has already been enacted, the costs and consequences will be truly severe for all Europeans, both humanly and economically, and that is not in the interests of Europeans.","fi",0,0,192,"2024",1,0.0404040404040404
"Tiziana Beghin","NI","Female",2024-04-24,"10. The attack on climate and nature: far right and conservative attempts to destroy the Green Deal and prevent investment in our future (topical debate)",12,"Signor Presidente, onorevoli colleghi, da due anni a questa parte la destra – e ahimè spiace constatare – anche alcuni membri della Commissione hanno deciso di utilizzare l'ambiente come arma per la prossima campagna elettorale. Sui giornali amici sono state diffuse fake news, è stata manipolata la protesta degli agricoltori e sono stati bloccati provvedimenti che fino a qualche mese prima erano considerati inamovibili. Nel 2019, anche grazie all'impegno del Movimento 5 Stelle, l'Europa aveva preso la forte direzione della transizione ambientale e sostenibile. Negli ultimi due anni, invece, c'è stato il tentativo di dietrofront e questo ha creato incertezza in primis al sistema produttivo e imprenditoriale europeo. Abbiamo intrapreso con forza e coraggio la strada dell'elettrificazione del sistema dei trasporti pubblici e privati. Le case automobilistiche stanno facendo investimenti forti in questo settore. Non possiamo dire ""scusate, abbiamo scherzato, è questa la strada giusta"". L'Europa non torni indietro ma guardi avanti.","Mr. President, ladies and gentlemen, for two years now, the right wing—and, sadly, some members of the Commission—have decided to use the environment as a weapon in the upcoming election campaign. Fake news has been spread in friendly newspapers, farmers' protests have been manipulated, and measures that were considered unchangeable just a few months ago have been blocked. In 2019, thanks in part to the efforts of the Five Star Movement, Europe had taken a strong step towards environmental and sustainable transition. In the last two years, however, there has been an attempt to reverse course, and this has created uncertainty, primarily in the European production and business system. We have embarked with strength and courage on the path of electrifying the public and private transport system. Car manufacturers are making significant investments in this sector. We cannot say, ""Sorry, we were joking, this is the right path."" Europe must not turn back, but look ahead.","it",0,0.0113636363636364,156,"2024",1,0
"Lídia Pereira","PPE","Female",2024-04-24,"10. The attack on climate and nature: far right and conservative attempts to destroy the Green Deal and prevent investment in our future (topical debate)",13,"Senhor Presidente, Caros Colegas, a extrema-esquerda vem agora na 25.ª hora do mandato procurar corrigir os seus erros. Por um lado, procura a velha técnica da amálgama: fazer de conta que todos os que não seguem os seus ditames são o mesmo, humanos retrógrados que procuram esgotar os recursos naturais e destruir o meio ambiente. A velha técnica, confundindo intenções com resultados e emoções com soluções. Grupos que se chamam «verdes», mas que foram o grupo com mais votos contra os atos legislativos do Pacto Ecológico Europeu. Pois não. Aqui, não. Não passarão. As suas supostas boas intenções, da esquerda radical, não trazem resultados. Aqui, estamos bem cientes do que é preciso fazer para travar as alterações climáticas e conservar o meio ambiente, a biodiversidade e todo o planeta. Portanto, não aceitamos uma propaganda, uma campanha feita de propaganda e emoções que não se traduz em moções. Precisamos, sim, de apostar na inovação, nas tecnologias limpas, na economia circular, nas energias renováveis. Precisamos de lideranças políticas que saibam o que é fundamental e não se percam em escaramuças políticas. Precisamos que a esquerda radical, nesta sessão plenária, aprove o Regulamento Indústria de Impacto Zero. Esta é uma aposta na criação de empregos de qualidade e crescimento, uma aposta na competitividade da indústria europeia de impacto zero para não perdermos toda a nossa indústria para outros países, como a China. Precisamos que a esquerda, ao contrário do que fez neste mandato, quando votou contra a Lei Europeia do Clima, saiba distinguir a esperança e as soluções de utopias ideológicas e meras proclamações. Aqui, somos claros – termino já, Senhor Presidente –, estamos a favor do clima, estamos a favor do planeta, a favor das pessoas e a favor do crescimento económico. Estamos a favor do futuro.","Mr. President, dear colleagues, the far left is now, at the 25th hour of its term, seeking to correct its mistakes. On the one hand, it is resorting to the old technique of amalgamation: pretending that all those who do not follow its dictates are the same, backward humans who seek to exhaust natural resources and destroy the environment. The old technique of confusing intentions with results and emotions with solutions. Groups that call themselves ‘green’, but which were the group that voted most against the legislative acts of the European Green Deal. No. Not here. They shall not pass. Their supposed good intentions, from the radical left, do not bring results. Here, we are well aware of what needs to be done to halt climate change and conserve the environment, biodiversity, and the entire planet. Therefore, we do not accept propaganda, a campaign made up of propaganda and emotions that does not translate into motions. What we need is to invest in innovation, clean technologies, the circular economy, and renewable energies. We need political leaders who know what is essential and do not get lost in political skirmishes. We need the radical left, in this plenary session, to approve the Zero Impact Industry Regulation. This is a commitment to creating quality jobs and growth, a commitment to the competitiveness of European zero-impact industry so that we do not lose all our industry to other countries, such as China. We need the left, unlike what it did in this term when it voted against the European Climate Law, to know how to distinguish hope and solutions from ideological utopias and mere proclamations. Here, we are clear—I will finish now, Mr. President—we are in favor of the climate, we are in favor of the planet, in favor of people, and in favor of economic growth. We are in favor of the future.","pt",0.033112582781457,0.0198675496688742,311,"2024",1,0.0132450331125828
